file,class,method,variable,usage
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,initialize/0,oldValue,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadDateAndTime/0,date,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadDateAndTime/0,currentTime,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadDateAndTime/0,f,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadDateAndTime/0,time,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadDateAndTime/0,event,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,setItemData/1[java.lang.String],itemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,setItemData/1[java.lang.String],i1,4
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,openCustomerForm/1[controller.ActionEvent],load,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,openCustomerForm/1[controller.ActionEvent],stage,3
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,openCustomerForm/1[controller.ActionEvent],actionEvent,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,openCustomerForm/1[controller.ActionEvent],scene,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,loadItemCodes/0,itemCode,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],size,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],price,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],qty,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],description,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],discount,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],tm,1
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\CashierFormController.java,controller.CashierFormController,addToCartOnAction/1[controller.ActionEvent],actionEvent,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemService.java,controller.ItemService,updateItem/1[model.Item],i,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemService.java,controller.ItemService,saveItem/1[model.Item],i,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemService.java,controller.ItemService,getItem/1[java.lang.String],code,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\controller\ItemService.java,controller.ItemService,deleteItem/1[java.lang.String],code,0
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,setPackSize/1[java.lang.String],packSize,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,setQtyOnHand/1[int],qtyOnHand,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,setItemCode/1[java.lang.String],itemCode,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,setUnitPrice/1[double],unitPrice,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,setDescription/1[java.lang.String],description,2
C:\Users\HP-Eli\Super_Market-System-master\Super_Market-System-master\Super market System\SuperMarket\src\views\tm\ItemTM.java,views.tm.ItemTM,"ItemTM/5[java.lang.String,java.lang.String,java.lang.String,double,int]",unitPrice,1
